designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 4421571769270237824",4421571769270237824,229.66751232221324,2.0423389980363265,2.719352765852111,3.628947181957007,-10.514900985163626,1.109497,19.261784,0.959877,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421571769270237952",4421571769270237952,229.66719152666315,2.04216483513911,,,,,20.352365,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421571769270238976",4421571769270238976,229.66335009854006,2.0445327618366336,,,,,20.877089,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421571769270241152",4421571769270241152,229.65927646117336,2.0438132418647084,,,,,19.98757,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421571906705439360",4421571906705439360,229.67649845567396,2.0625192643628223,0.04681437100566489,3.7779197298990783,-10.553341327105153,1.1154848,18.624052,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421571906705442176",4421571906705442176,229.67696030521876,2.0631744526216944,,,,,20.435814,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421571906705442432",4421571906705442432,229.67672500263603,2.064320501911855,,,,,20.860758,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421571906705442560",4421571906705442560,229.6771793903768,2.0638692585494196,,,,,19.563974,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421571906705442688",4421571906705442688,229.67672017231325,2.0636358773130676,-1.6467896597158282,1.0919070237848891,-5.480495812192969,2.5791354,19.070875,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421477894170193536",4421477894170193536,229.63620760000478,2.032502681730552,0.6909498510768152,-1.5265841870035843,-10.695680549057665,1.0770446,16.060566,1.0036745,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5136.126,4.4577,-0.4888,1295.4817,0.0037,0.003,0.0016
"Gaia DR3 4421477898461302400",4421477898461302400,229.63824880225053,2.0310132910640144,-0.4535184991320393,4.8283061465270425,-8.885022724256952,0.99345255,19.639963,0.5968342,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421477898461307264",4421477898461307264,229.6371714350941,2.031365537189803,0.25231196558425195,2.9199968434442427,-9.688246207082846,1.1604055,19.431139,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421477898461312128",4421477898461312128,229.63688062444552,2.0319338594048215,-0.010048005040352005,3.688041848272822,-10.450152175238692,1.1047616,18.859549,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421477898461312256",4421477898461312256,229.63636854996219,2.031685676991553,0.525869912609491,4.344444529635412,-10.937493593453675,1.4844224,18.453823,0.84895515,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421477898461318400",4421477898461318400,229.63456989484504,2.031763007258334,-0.06030069166043584,4.125929638239274,-9.977732382410453,0.9572915,18.750648,0.572073,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421477898462537344",4421477898462537344,229.63777065116494,2.0317903776547275,,,,,20.307882,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421477898462650880",4421477898462650880,229.63777514580013,2.0311569656003963,,,,,20.347475,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421477898463228800",4421477898463228800,229.63733453784772,2.0323070612664726,,,,,19.717665,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478100328618496",4421478100328618496,229.61807103493547,2.036047862346661,0.019956214636565245,3.7746214018641098,-9.881858187824642,0.9569541,16.261904,0.99769115,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478100328619648",4421478100328619648,229.62185552351625,2.035055860153392,0.10364045644624915,4.063254526274335,-9.78298838541759,1.006639,13.368326,1.2852411,48.66593,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478100328620160",4421478100328620160,229.62276310511209,2.039460993383486,0.22077071646400875,4.374861845018102,-9.442967851767996,1.0115737,18.314224,0.71808815,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 4421478100328620288",4421478100328620288,229.62292928383914,2.037070867577012,-0.04784457503994408,3.796376655583262,-9.659277232636999,1.1539419,15.677712,0.0599823,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,12066.296,4.0798,-0.9974,9721.918,0.2743,0.2666,0.1425
"Gaia DR3 4421478100328620800",4421478100328620800,229.62366450596667,2.033732033914003,-0.2298799245271729,3.9736713010260276,-11.142581987920755,3.0438962,17.648174,0.8212204,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478100328621184",4421478100328621184,229.62568333544672,2.0351520873319666,0.33807290904605225,3.6763606058015545,-10.158180985949256,1.1014423,17.87926,0.8100319,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,5747.8037,4.7005,-1.1612,2693.3015,0.0059,0.005,0.0027
"Gaia DR3 4421478100328621440",4421478100328621440,229.6270428700914,2.0401264744087144,0.04967786033117078,3.902149646427951,-9.670154799864125,1.196965,15.018485,0.30068207,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478100328621952",4421478100328621952,229.62894698630922,2.0336649317895974,0.032359552366859605,4.048927382786715,-10.06833136147947,1.0128821,17.215708,0.93847084,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 4421478100328622080",4421478100328622080,229.63074932452784,2.032787240425567,0.01494762471662286,4.827699733107515,-10.867637753840778,0.9641886,18.450727,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
