designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 4421572147224039168,4421572147224039168,229.64466128742143,2.065325223864994,,,,,18.49004,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421572078504275072,4421572078504275072,229.66507465353578,2.063482070691372,,,,,18.18929,0.73238945,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421573040582044928,4421573040582044928,229.5946173457471,2.0804305592065457,-0.08007653909623212,4.736057046535763,-10.087433455144689,0.98029,18.83941,1.0143318,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421573281099010304,4421573281099010304,229.61221266114558,2.1224622916991143,,,,,20.365652,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421573006218304128,4421573006218304128,229.63408722776936,2.0979814313978995,,,,,18.434343,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421572490821164288,4421572490821164288,229.6829223823001,2.075731681636286,-0.04100686539268824,5.741096276287598,-10.00416253325787,0.9715438,18.980019,0.56184006,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421573212376998656,4421573212376998656,229.62370010587784,2.1081511209076638,,,,,19.58175,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421478929254036224,4421478929254036224,229.60167009107343,2.0545304470391246,1.0779674258385705,4.5744664703716555,-9.619569563329048,0.9168644,19.267603,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421572147226971392,4421572147226971392,229.64001347458503,2.0729115217510317,,,,,17.63871,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421572971863437824,4421572971863437824,229.6148759557297,2.0890038969213105,,,,,18.463602,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421572009788802176,4421572009788802176,229.61913041493773,2.0560243126175366,0.1985267508963132,2.5790304656276803,-9.590715238937495,0.93576294,18.767471,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421478173339958784,4421478173339958784,229.60928851640887,2.0404001087642025,,,,,20.338114,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421572112864084864,4421572112864084864,229.67574313182638,2.074003345041462,-0.29097950633615227,3.097693740986876,-8.920720436958884,1.1512749,18.87332,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 4421573006218207744,4421573006218207744,229.63324264634537,2.092877949085725,,,,,17.587664,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
