designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 1348104197430849280",1348104197430849280,259.8681972582434,42.254904472104265,7.241379221726147,12.204431143871965,-56.227849556123026,0.9895419,3.3110237,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3128.9011,5.0735,-0.3139,140.671,1.0536,0.6362,0.4433
"Gaia DR3 1348112821724704768",1348112821724704768,259.43463209479245,42.2511198157026,6.269191725443209,5.7769374336352435,-14.444943533056447,1.0494803,2.8736534,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1348113788093481856",1348113788093481856,259.5752836218221,42.273679925939675,5.737909097032753,26.535317852532934,62.29772699606015,1.4399554,3.0056038,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1348119281356064256",1348119281356064256,259.8886063796837,42.4153597224859,5.949599401140248,-11.766334999154662,23.531049906681645,1.0415076,2.4379168,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3518.2283,4.9354,-0.4939,168.1318,0.773,0.5134,0.311
"Gaia DR3 1348119281356151040",1348119281356151040,259.89067077380207,42.41675039777103,5.995010754515938,-11.214669443418597,23.575548472238744,0.99972165,3.1415863,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1348199275122214784",1348199275122214784,260.0848367052389,42.344753706015894,7.888014848753659,24.800504403731406,-28.220038277699672,3.1143425,1.8523331,-37.93965,"NOT_AVAILABLE",1,true,true,false,false,false,false,true,4237.768,4.5154,0.3959,123.4832,0.7328,0.5285,0.2862
"Gaia DR3 1348201298051268224",1348201298051268224,260.1745772891181,42.48548839980619,6.908188003748306,-64.27278101755263,68.90831725426543,0.98382944,3.2436047,,"NOT_AVAILABLE",0,false,false,false,false,false,true,false,3077.1619,5.0591,-0.1978,149.2999,0.8902,0.5314,0.3805
"Gaia DR3 1348202260123969664",1348202260123969664,260.30053180649105,42.506783634174084,5.99663277987806,-1.1655203358139257,-1.6844534986014068,1.0698225,2.9154701,,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,3224.2524,4.99,-0.1594,166.6491,0.8045,0.4996,0.3386
"Gaia DR3 1348203226492127360",1348203226492127360,260.3261192526981,42.56086527714872,6.527749474249087,25.36409068421867,-52.653601271820975,1.0155218,2.667776,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3454.8125,4.864,-0.1444,153.5595,0.8682,0.5641,0.3568
"Gaia DR3 1348219925324997248",1348219925324997248,260.3046729987307,42.73060053807648,6.130357005032874,-2.982238499448501,-2.754101101113386,1.1110829,3.1608696,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3214.9097,4.9282,0.0556,166.7509,1.0359,0.635,0.4398
"Gaia DR3 1354157253755685632",1354157253755685632,258.57009378693454,42.32143692924398,5.277327451291707,-58.488507565882074,-36.22823665746793,1.288205,2.540988,-21.61622,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3467.7146,4.4846,-0.3604,189.2775,0.6731,0.4417,0.2789
"Gaia DR3 1354363304810086272",1354363304810086272,258.4208797777068,42.55144701822965,5.521360581978336,-15.824009245024197,5.035360580657215,0.98492026,2.862358,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1354362312673806720",1354362312673806720,258.2621260367448,42.51709675768322,8.25268187552386,-3.3906397435955737,54.65788813507227,1.0578648,1.6260853,-25.178713,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4324.5156,4.6606,0.1413,121.1829,0.4352,0.322,0.1707
"Gaia DR3 1354365164530582144",1354365164530582144,258.5226624536517,42.68083256304413,6.758621369047244,-21.38728727562333,-88.48824993174915,0.95646536,1.2451687,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1354365164532078976",1354365164532078976,258.52397354877087,42.68059418676018,6.797487601016344,-21.291917110377458,-87.92168122713113,1.1448205,1.4267273,19.084217,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1354373926265405696",1354373926265405696,258.18803873469693,42.68681844256792,9.199815450588998,-18.416679085407967,-34.16745491887643,1.0842131,1.9680862,9.770218,"VARIABLE",0,true,true,false,true,false,true,true,3948.0583,4.7019,0.0,108.3508,0.5619,0.3967,0.2203
"Gaia DR3 1354378118153501440",1354378118153501440,258.16731404908563,42.77575632357688,5.14562620174666,1.4477014107612058,-27.946144004309332,1.20309,2.4982119,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3532.038,4.5655,-0.3056,193.0281,0.7987,0.5281,0.3268
