designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 1745948328028714880",1745948328028714880,322.4937306373872,12.168069968754974,-1.72809306833911,1.0916318864093635,1.196157637888126,7.0539217,15.007121,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1745948328025329664",1745948328025329664,322.49301185824214,12.167647747006919,,,,,16.516787,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328025333760",1745948328025333760,322.492936127608,12.166702492052599,-0.8104895571480759,-2.820569046633115,-4.045816725623049,6.701029,13.265371,1.0115871,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1745948328025346048",1745948328025346048,322.49356724060533,12.166787690299229,-1.1475537703752103,-0.6499135687216129,-1.9623558093259958,5.5289917,13.019919,1.0547457,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,7714.0146,2.1978,-0.7712,7243.805,2.3519,2.0069,1.1025
"Gaia DR3 1745948328025346688",1745948328025346688,322.4932784631922,12.167773194281015,,,,,15.830268,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328025357568",1745948328025357568,322.49204600113177,12.166244981536144,,,,,14.984439,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328025357824",1745948328025357824,322.4925118997544,12.166248654921343,,,,,15.112016,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328025359616",1745948328025359616,322.4926815319355,12.16778924638895,,,,,15.739628,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328025379072",1745948328025379072,322.4930417615028,12.166023235976448,,,,,16.022587,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328025402112",1745948328025402112,322.49237389905335,12.1673650138233,,,,,15.953064,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328028707072",1745948328028707072,322.49292944306825,12.167019610414872,,,,,14.29176,0.89844227,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328028748544",1745948328028748544,322.49215604824536,12.166928153855812,0.17274966794976304,-0.7441320538924787,-3.90198803715369,4.434157,13.535121,1.030694,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1745948328028732800",1745948328028732800,322.4922403540987,12.167876974428655,,,,,15.944291,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328028733184",1745948328028733184,322.49202876803605,12.167602998415576,,,,,15.756948,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328028734720",1745948328028734720,322.49239234098206,12.165989374496258,-1.252179719738572,-5.525977030261276,-3.6608028099650674,25.422941,13.768011,1.0035772,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1745948328028746624",1745948328028746624,322.49421629966486,12.167387441033403,0.18186134201125048,0.2086194036219371,-4.6810410480165086,5.850134,12.797487,1.182229,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1745948328028746752",1745948328028746752,322.4934102712362,12.167370295085622,,,,,14.71266,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328028749184",1745948328028749184,322.49318311453595,12.165819603754107,,,,,15.801444,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328028749312",1745948328028749312,322.49321395681,12.165688426961857,-1.6084416313967491,2.3642840576198996,-2.9532132856994435,3.7348192,15.399123,0.91385174,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 1745948328028794112",1745948328028794112,322.49185266761066,12.167218767737484,,,,,16.036724,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328028798464",1745948328028798464,322.49418334104024,12.166491208347605,,,,,15.273284,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328031309184",1745948328031309184,322.4940943329831,12.166826178621092,,,,,14.667322,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328031310080",1745948328031310080,322.4928028901537,12.168125789003293,,,,,15.430402,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328031312640",1745948328031312640,322.49338108462734,12.166385089843805,,,,,16.02799,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 1745948328031313152",1745948328031313152,322.4937903259056,12.167776023080506,,,,,16.155895,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
